Rounds	DBP2jobspan	DBP2avgbackup	BPLjobspan	BPLavgbackup
1	11034.2	11034.2	11034.2	11034.2
2	NaN	NaN	NaN	NaN
3	NaN	NaN	11809.3	3936.96
4	11796.3	2948.21	NaN	NaN
5	NaN	NaN	12911.4	2583.96
6	NaN	NaN	13347.7	2224.49
7	NaN	NaN	NaN	NaN
8	12870.1	1608.23	14571.6	1822.67
9	13537.4	1503.53	NaN	NaN
10	NaN	NaN	15687.8	1569.4
11	NaN	NaN	16628	1510.86
12	14363.5	1196.36	17365.7	1446.87
13	15401.3	1183.32	NaN	NaN
14	NaN	NaN	18813.1	1342.98
15	16774	1106.96	19539.4	1303.62
16	17437.8	1075.38	NaN	NaN
17	18263.9	1056.98	20871.4	1228.19
18	19172.1	1047.64	21624.1	1201.67
19	NaN	NaN	NaN	NaN
20	20984.5	1030.12	22690.1	1135.12
21	21948	1025.79	NaN	NaN
22	22921.8	1022.49	NaN	NaN
23	23890.1	1019.13	23529.9	1022.83
24	24849.6	1015.43	24237.4	1009.76
25	25773.2	1009.37	25166.3	1006.65
26	26720.5	1005.71	NaN	NaN
27	NaN	NaN	NaN	NaN
28	NaN	NaN	25886.3	1006.65
