timelimit	rounds	totaltime	throughput	turnaround	avgbackuptime
11000	1	11034.2	9.37975	11034.2	11034.2
12000	4	11809.4	8.76408	7015.43	2952.12
13000	6	12329	8.39475	7033.07	2054.76
14000	11	13798.6	7.50063	7219.06	1254.15
15000	12	14476.9	7.14921	7904.6	1206.54
16000	13	15502	6.67647	8488.71	1191.98
17000	15	16817.4	6.15425	7985.84	1110.31
18000	16	17569	5.89097	8101.61	1085.02
19000	17	18425.6	5.61709	8710.85	1069.32
20000	18	19285.1	5.36675	9234.19	1055.65
21000	19	20236.2	5.11451	8657.06	1049.09
22000	20	21103.1	4.90442	10070	1037.94
23000	21	22098.8	4.68343	10171.2	1035.21
24000	22	23041.4	4.49184	11228.5	1030.13
25000	24	24973.7	4.14429	12454.1	1023
26000	25	25933.3	3.99094	13238.4	1019.69
27000	26	26876.2	3.85094	13391.6	1015.26
