NodesFailed	VC1	VC2	VC3	VC4
0	100	100	100	100
1	100	100	100	100
2	100	100	100	100
3	99.9932034632035	99.999387755102	99.999387755102	99.999387755102
4	99.9728138528139	99.9972959980618	99.9975510204082	99.9975510204082
5	99.9320346320346	99.9926024392888	99.9938642686065	99.9938775510204
6	99.8640692640693	99.9839297668458	99.9876754075576	99.9877551020408
7	99.7621212121212	99.9696456464498	99.9782924978801	99.978571366101
8	99.619393939394	99.947862721471	99.9649704705375	99.9657137859504
9	99.4290909090909	99.9164386129335	99.9468978444236	99.9485691796342
10	99.1844155844156	99.8729759195149	99.9231834439493	99.9265231157874
