NodesFailed	VC1	VC2	VC3	VC4	VC5	VC6
0	100	100	100	100	100	100
1	100	100	100	100	100	100
2	100	100	100	100	100	100
3	99.9992640692641	99.999387755102	99.999387755102	99.999387755102	99.999387755102	99.999387755102
4	99.9970562770563	99.9975459199612	99.9975510204082	99.9975510204082	99.9975510204082	99.9975510204082
5	99.9926406926407	99.9938520487858	99.9938772853721	99.9938775510204	99.9938775510204	99.9938775510204
6	99.9852813852814	99.9876785953369	99.9877535081512	99.9877551020408	99.9877551020408	99.9877551020408
7	99.9742424242424	99.978392912929	99.9785658499576	99.978571427322	99.978571427322	99.9785714285714
8	99.9587878787879	99.9653572544294	99.9656994094108	99.965714275719	99.965714275719	99.9657142857143
9	99.9381818181818	99.9479287722587	99.9485379568885	99.9485713835927	99.9485713835927	99.9485714285714
10	99.9116883116883	99.9254595183903	99.926463668879	99.9265304623157	99.9265304623157	99.9265306122449
