VMs	exbin	cds1	cds2	cds4
1	96.307679433876	98.3601451523135	99.4779503580216	100.041381139369
2	95.9966062784862	95.061995783432	96.253859705001	96.8447059630779
3	96.7044871417432	94.5927997500729	95.7240937341428	96.2996953680946
4	96.6230569901597	93.9821451613871	95.1311700662197	95.7083810376713
5	96.8540210228451	93.8850703725203	95.0208183018902	95.5949130543538
6	96.6619311399511	94.1580049145299	95.310643995758	95.8932069676303
7	96.5874246250839	94.1495183514746	95.3192726084748	95.9142748382455
8	96.386065608165	94.172353640109	95.3301813891344	95.9305267251464
9	96.3348922565547	94.1913016348142	95.3219592068161	95.9083826551821
10	96.1711884767209	94.1093548607371	95.2490015384588	95.8423902885798
11	95.9927192038798	94.220922973019	95.3299792775868	95.931149352037
12	95.6556526436452	94.1859087777099	95.3068473956761	95.943325533389
13	95.5669412059699	94.1638235810217	95.2844149923817	95.9228555497419
14	95.6914550519275	94.1539883262665	95.2668601196046	95.903695743033
15	95.8087700254064	94.433183567528	95.4760145714255	96.0775511137296
16	95.8969592590369	94.6887190977158	95.6480151032561	96.2104477294656
17	95.7648341717511	94.5955500774435	95.5864845776846	96.1559611140788
18	96.037746095994	95.0460021733889	95.9449246137607	96.4665419919417
19	95.9973796438346	95.0251302548514	95.9266895129579	96.4571974048581
20	95.3719383993002	94.4683919858432	95.3819843632483	95.923926086247
21	95.497505314481	94.6694925994307	95.5503223904741	96.072313390361
22	95.5954981876135	94.6628928853002	95.535962985637	96.0523623077833
23	95.7025126794282	94.6383909894527	95.504158721465	96.0151115234621
24	94.5775979598076	93.5544402419607	94.443381944498	95.3741372554996
25	94.6231381038764	93.4948136861999	94.3776085346842	95.2932453311893
26	94.6281660324539	93.5534014538654	94.4328139606321	95.3380550932957
27	94.6935944646421	93.5596697421781	94.4353981576208	95.329494592396
28	94.1200844819231	93.0097512810146	93.8794023362979	94.7552055014752
29	89.0122767872507	88.5752899527784	89.5081289216078	90.9574703349627
30	89.1798234938636	88.6767436280417	89.6061167969974	91.0380504069778
31	89.383932037293	88.9469628089899	89.8658529227863	91.2634322497083
32	90.0560062335495	89.6567837671515	90.5201011518192	91.8222316648486
33	90.1891267621579	89.7742741918602	90.6294124218222	91.9084765859717
34	90.2175552425111	89.7839041666927	90.6407320197095	91.9044913151196
35	89.9893424150194	89.604752613238	90.5069928891336	91.7830823976663
