VMs	exbin	cds1	cds2	cds4	MHcds1	MHcds2	MHcds4	MHNocds
1	97.5158064356501	nan	99.5194671808763	100.046379106539	nan	99.5299708997292	100.055607343649	96.2634002132983
2	97.9566722429047	nan	96.511337109535	97.0594597560767	nan	96.9217771857018	97.4467921320461	93.6521348039524
3	98.2269850029555	nan	95.9129176810864	96.4479571499998	nan	96.1892573883685	96.7084139716416	92.9886977229641
4	98.3690579049312	nan	95.3767421019472	95.9115518282537	nan	95.757091399648	96.2729516516751	92.5764847116762
5	98.4268997887444	nan	95.2215808760681	95.7558518709039	nan	95.524444475093	96.0434511177009	92.3244567097325
6	98.2980723412045	nan	95.4828150121374	96.0301428964428	nan	95.7754324000239	96.3055741343603	92.4572429741661
7	98.2234931458895	nan	95.4713919845647	96.0361228486982	nan	95.7548227203154	96.3011923568323	92.3608125676679
8	98.1307613913065	nan	95.4582839073989	96.0352537303055	nan	95.7234712607434	96.2818925643917	92.305104860169
9	98.091797369647	nan	95.4351725574836	96.000995721823	nan	95.6809634794648	96.229651991745	92.3404051897015
10	98.0406200537996	nan	95.348857475546	95.925510609413	nan	95.6626355959226	96.2192356779536	92.2519399027319
11	97.9049035608294	nan	95.414234760755	96.0025283268148	nan	95.7127726071598	96.2820842290914	92.2918101185992
12	97.7595512548968	nan	95.3797046240513	96.0066118271115	nan	95.7019708470436	96.3007471205104	92.217185471879
13	97.7244483109375	nan	95.3519237860347	95.9823987103772	nan	95.6613015516074	96.2641538246411	92.1246550292679
14	97.775326502446	nan	95.325602012884	95.9567727015406	nan	95.6231705108038	96.2277731910709	92.0853329645845
15	97.8502305939221	nan	95.5356527712562	96.1322501612719	nan	95.8045055290592	96.3760966355891	92.465484040287
16	97.9046839424573	nan	95.6980933546064	96.2571608727285	nan	96.0099679698075	96.5436169911082	92.9291289352152
17	97.8998495739816	nan	95.6364885443834	96.2042796900335	nan	96.0189473568352	96.5530748504403	92.922351856253
18	97.872536949718	nan	95.9225030766074	96.4528341547899	nan	96.2708500792705	96.7688288097571	93.4125245831226
19	97.869144896589	nan	95.9013201215393	96.440343329933	nan	96.2712785124368	96.7694701668865	93.4064143724287
