NodesFailed	Availability3	Availability4	Availability5
1	100	100	100
2	100	100	100
3	99.9993815708101	100	100
4	99.9975262832406	99.9999744977654	100
5	99.9938157081014	99.9998724888268	99.9999986717586
6	99.9876314162028	99.9996174664805	99.9999920305517
7	99.978354978355	99.9991074217878	99.9999721069309
8	99.965367965368	99.9982148435757	99.9999256184823
9	99.948051948052	99.9967867184362	99.9998326415852
10	99.9257884972171	99.994644530727	99.9996652831704
11	99.8979591836735	99.991584262571	99.9993863524791
12	99.8639455782313	99.9873763938565	99.9989480328214
13	99.8231292517007	99.9817659022372	99.9982905533347
14	99.7748917748918	99.9744722631321	99.9973408607429
15	99.7186147186147	99.9651894497255	99.9960112911144
16	99.6536796536796	99.9535859329674	99.9941982416209
17	99.5794681508967	99.9393046815727	99.9917808422963
18	99.4953617810761	99.9219631620221	99.9886196277949
19	99.4007421150278	99.9011533385613	99.9845552091502
20	99.2949907235622	99.8764416732016	99.9794069455336
21	99.1774891774892	99.8473691257196	99.9729716160128
22	99.047619047619	99.8134511536573	99.9650220913108
23	98.9047619047619	99.774177712322	99.9553060055637
24	98.7482993197279	99.7290132547864	99.9435444280805
25	98.5776128633272	99.6773967318886	99.9294305351006
