NodesFailed	VO	VC1	VC2	VC3	VC4
0	100	100	100	100	100
1	100	100	100	100	100
2	100	100	100	100	100
3	69.5486049285426	99.6601941726164	99.6601941726164	99.6601941726164	99.6601941726164
4	23.3963354539914	98.1949926374872	98.6476766294987	98.6476766294987	98.6476766294987
5	2.64752663147494	94.4559406567027	96.6301916886483	96.6533427140333	96.6533427140333
6	0.07007823087562	87.1906672248253	93.284313112708	93.4170765128671	93.4184899046699
7	0.000301657685202	75.5686387308144	88.3222832745727	88.7583211257857	88.7677218893256
8	0.000000146774064	59.8928758286655	81.5411143753654	82.607363136153	82.6423658568844
9	0.000000000005608	42.082537898034	72.8927988301547	75.031116497278	75.1265336568536
10	0	25.29600621955	62.5640266342925	66.2464037543631	66.4572140360442
11	0	12.4954676323047	51.0382835104842	56.6142558939104	57.0113442012557
12	0	4.84982032982465	39.0986584040965	46.6110125317621	47.26710896047
13	0	1.40761921859081	27.7296335303826	36.776126946522	37.7431829929697
14	0	0.289422795847068	17.906830805519	27.6421850468138	28.9265221759465
15	0	0.039751417757124	10.3278518165969	19.6586560677182	21.2041109968241
16	0	0.003422989472805	5.20337662655023	13.1254733764097	14.8144966723474
17	0	0.000172631797608	2.2327961271901	8.15340041020982	9.83012727515416
18	0	0.000004741180278	0.792934131910286	4.66336758109857	6.1727753380215
19	0	0.000000065620278	0.225636703564869	2.4264424635851	3.65485551537763
20	0	0.000000000421546	0.049618661109035	1.1327130234505	2.03290039749666
21	0	0.000000000001152	0.008098996752853	0.466885201229352	1.05819342024478
22	0	0.000000000000001	0.000938336030673	0.166831609627583	0.513465822412209
23	0	0	0.000073452963495	0.050607938553991	0.231303907629396
24	0	0	0.000003680011643	0.012724889790962	0.096321144845854
25	0	0	0.000000111202357	0.00258108374832	0.036911568195689
26	0	0	0.000000001899754	0.00040957528902	0.012954066224665
27	0	0	0.000000000017102	0.000049116200411	0.004141769715214
28	0	0	0.000000000000075	0.000004281541898	0.001199579823663
29	0	0	0	0.000000259759479	0.000312759036514
30	0	0	0	0.000000010448778	0.000072894370429
31	0	0	0	0.000000000264026	0.000015068646932
32	0	0	0	0.000000000003948	0.000002738384183
33	0	0	0	0.000000000000033	0.000000433072751
34	0	0	0	0	0.000000058917059
35	0	0	0	0	0.000000006803711
36	0	0	0	0	0.000000000656743
37	0	0	0	0	0.000000000052055
38	0	0	0	0	0.000000000003319
39	0	0	0	0	0.000000000000166
40	0	0	0	0	0.000000000000006
