NodesFailed	VC1	VC2	VO1	VO2
0	100	100	100	100
1	100	100	100	100
2	100	100	100	100
3	99.999387755102	99.999387755102	99.9969078540507	99.9876314162028
4	99.9975459199612	99.9969134645423	99.9876314162028	99.9505256648114
5	99.9938520487858	99.9906897716912	99.9690785405071	99.8763141620284
6	99.9876785953369	99.9781917640533	99.9381570810142	99.7526283240569
7	99.978392912929	99.9562569732673	99.8917748917749	99.5670995670996
8	99.9653572544294	99.921085375106	99.8268398268398	99.3073593073593
9	99.9479287722587	99.8682393894765	99.7402597402598	98.961038961039
10	99.9254595183903	99.79264388042	99.6289424860854	98.5157699443414
