NodesFailed	VC1	VC2	VC3	VC4	VO1	VO2	VO3	VO4
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	0.000587507730365	0.000587507730365	0.000587507730365	0.000587507730365	0.003092145949289	0.006184291898578	0.012368583797155	0.02473716759431
4	0.002477539098078	0.002605047274684	0.002860063627919	0.003370096334376	0.012368583797155	0.02473716759431	0.049474335188621	0.098948670377242
5	0.006512595712582	0.007150114121524	0.008425150939384	0.010975224575116	0.030921459492888	0.061842918985776	0.123685837971552	0.247371675943105
6	0.013662597463393	0.015575040319493	0.019399926031682	0.027049697456072	0.061842918985776	0.123685837971552	0.247371675943105	0.494743351886209
7	0.025024743929547	0.029486717296334	0.038410664029898	0.056258557497002	0.108225108225108	0.216450216450216	0.432900432900433	0.865800865800866
8	0.041823278401132	0.050746123901835	0.068591814903229	0.104283196906041	0.173160173160173	0.346320346320346	0.692640692640693	1.38528138528139
9	0.065409128293048	0.081467607235453	0.11358456512025	0.177818480889846	0.25974025974026	0.519480519480519	1.03896103896104	2.07792207792208
10	0.097259395731164	0.12401786381856	0.17753479999334	0.2845686723429	0.371057513914657	0.742115027829314	1.48423005565863	2.96846011131725
