VMs	N_O	N_1	N_2
1	116	363.185641467571	nan
2	288	360.582465834916	nan
3	328.666666666667	366.400945430001	nan
4	308.75	363.620211753994	nan
5	316.2	364.740628632903	15.2
6	366.666666666667	323.740044772625	nan
7	386.571428571429	296.62154811195	nan
8	386.625	284.624278115109	nan
9	372.666666666667	276.766882626547	nan
10	375.3	266.032308124006	22.2
11	394.636363636364	257.312839774923	nan
12	394.833333333333	249.145694676787	nan
13	425.769230769231	241.562487973617	nan
14	478.928571428571	232.95419181564	nan
15	492.066666666667	249.345506518086	35.6666666666667
16	515.1875	265.975859777071	nan
17	511.647058823529	252.91596977851	nan
18	521.666666666667	283.982468829387	nan
19	531.105263157895	271.551720285886	nan
20	549.55	265.608830872178	42
21	559.952380952381	269.48933768911	nan
22	568.090909090909	263.08702903986	nan
23	560.260869565217	257.239624206787	nan
24	589.833333333333	285.948120266199	nan
25	591.4	280.318508259058	45.72
26	626.307692307692	273.135558192547	nan
27	641.703703703704	266.946645464058	nan
28	648.964285714286	265.907185741833	nan
29	654.896551724138	294.055718518537	nan
30	653.033333333333	287.129587771495	45.72
31	654.387096774194	285.504627258066	nan
32	672.3125	304.416293680202	nan
33	665.30303030303	299.202084330898	nan
34	681.970588235294	293.856406930177	nan
35	692.514285714286	289.56271608855	53.4666666666667
36	677.361111111111	287.17514059152	nan
37	675.621621621622	291.702847899219	nan
38	670.157894736842	289.019326212586	nan
39	660.564102564102	284.792837183735	nan
40	652.975	282.753324573696	58.5428571428572
41	654.829268292683	289.754474113344	nan
42	652	285.458957236711	nan
43	646.046511627907	284.521349566111	nan
44	636.863636363636	280.852978488806	nan
45	631.777777777778	282.763301141994	60.875
46	630.760869565217	280.150400382944	nan
47	626.021276595745	276.250116830319	nan
48	630.854166666667	277.896531286479	nan
49	642.836734693878	275.630235150022	nan
50	644.04	276.919236960864	65.3777777777778
51	650.627450980392	278.907848524185	nan
52	647.057692307692	280.36064767377	nan
53	647.641509433962	279.436120218536	nan
54	648.777777777778	283.585637078757	nan
55	655.181818181818	290.704838521267	71.92
56	656.178571428572	299.369389517294	nan
57	657.964912280702	296.792175860711	nan
58	652.637931034483	293.317589509993	nan
59	662.474576271186	290.557194364957	nan
60	662.116666666667	287.729237834819	76.8727272727273
61	671.737704918033	289.772117983911	nan
62	678.225806451613	287.77488585761	nan
63	679.714285714286	285.770244663694	nan
64	680.921875	292.689577056717	nan
65	678.430769230769	289.461117275392	83.05
66	678.166666666667	287.429469551428	nan
67	687.238805970149	286.39795225852	nan
68	683.441176470588	292.26744474031	nan
69	692.550724637681	291.608371155795	nan
70	695.071428571428	293.188424230369	88.0307692307692
71	687.394366197183	291.030363145024	nan
72	686.541666666667	287.556062111279	nan
73	683.753424657534	300.517276128159	nan
74	678.527027027027	300.295515291647	nan
75	674.786666666667	302.054120599043	92.2142857142857
76	675.605263157895	299.36982344415	nan
77	674.168831168831	296.784995438075	nan
78	670.602564102564	293.84410482437	nan
79	665.443037974684	292.070769650123	nan
80	662.625	289.448993408742	95.5066666666667
81	661.716049382716	288.833285403254	nan
82	658.987804878049	288.230586266338	nan
83	661.590361445783	290.236914789987	nan
84	668.357142857143	288.665349296165	nan
85	668.882352941176	287.983480716734	98.2125
86	672.593023255814	288.791957199662	nan
87	670.459770114942	287.381119812349	nan
88	670.568181818182	287.010463727464	nan
89	671.415730337079	286.092946269507	nan
90	675.1	285.093249604207	103.164705882353
91	676.384615384615	283.588440286529	nan
92	677.391304347826	281.693328494648	nan
93	674.021505376344	281.387866855948	nan
94	680.276595744681	283.958073843792	nan
95	679.842105263158	284.435788297922	109.211111111111
96	686.53125	282.965813123371	nan
97	690.618556701031	284.485787707609	nan
98	691.897959183674	283.564785483255	nan
99	692.565656565657	282.181305411527	nan
100	690.99	284.734639851132	112.894736842105
101	691.019801980198	290.116777041445	nan
102	696.813725490196	293.892248029735	nan
103	694.718446601942	291.95528526301	nan
104	700.701923076923	290.347434600315	nan
105	702.67619047619	288.934080006377	118.71
