VMs	FSBLinks
1	1
2	1.13833992094862
3	1.24025157232704
4	1.37069922308546
5	1.65376569037657
6	1.71740827478532
7	1.85342465753425
8	2.05514950166113
9	2.19790301441678
10	2.42129032258065
11	2.68460111317254
12	2.8890243902439
13	3.17555938037866
14	2.76608910891089
15	2.95358143257303
16	2.70173713536545
17	2.83230218169977
18	3.01154586273252
19	3.10015360983103
20	3.25659259259259
21	3.42528400815613
22	3.54754470621629
23	3.63395375070502
24	3.51789264413519
25	3.64701529353725
26	3.61465038845727
27	3.75835140997831
28	3.91026468689477
29	4.02628789484842
30	4.0662100456621
31	4.18268041237113
32	4.15408379996138
33	4.22780666281533
34	4.37820996978852
35	4.52792826452457
