VMs	Measured	Theoretical
1 1 0.354
2 1 0.354
3 1 0.354
4 1.50174 1.0228
5 1.50174 1.0228
6 1.50174 1.0228
7 1.7897 1.306
8 1.7897 1.306
9 1.7897 1.306
10 2.00568 1.5741
11 2.00568 1.5741
12 2.00568 1.5741
13 2.16496 1.7783
14 2.16496 1.7783
15 2.16496 1.7783
16 2.04536 1.8053
17 2.04536 1.8053
18 2.04536 1.8053
19 2.06979 1.8938
20 2.06979 1.8938
21 2.06979 1.8938
22 2.06505 1.9655
23 2.06505 1.9655
24 2.06505 1.9655
25 2.04423 2.0022
26 2.04423 2.0022
27 2.04423 2.0022
28 2.05182 2.0645
29 2.05182 2.0645
30 2.05182 2.0645
31 2.00476 2.0787
32 2.00476 2.0787
33 2.00476 2.0787
34 2.01782 2.1334
35 2.01782 2.1334
36 2.01782 2.1334
37 2.05435 2.1955
38 2.05435 2.1955
39 2.05435 2.1955
40 2.09301 2.2498
41 2.09301 2.2498
42 2.09301 2.2498
43 1.9438 2.0949
44 1.9438 2.0949
45 1.9438 2.0949
46 1.7706 1.9439
47 1.7706 1.9439
48 1.7706 1.9439
49 1.76809 1.9799
50 1.76809 1.9799
51 1.76809 1.9799
52 1.61406 1.8056
53 1.61406 1.8056
54 1.61406 1.8056
55 1.61376 1.8244
56 1.61376 1.8244
57 1.61376 1.8244
58 1.59673 1.9036
59 1.59673 1.9036
60 1.59673 1.9036
61 1.54165 1.8359
62 1.54165 1.8359
63 1.54165 1.8359
64 1.56486 1.8649
65 1.56486 1.8649
66 1.56486 1.8649
67 1.59316 1.8991
68 1.59316 1.8991
69 1.59316 1.8991
70 1.53882 1.9891
71 1.53882 1.9891
72 1.53882 1.9891
73 1.56152 2.025
74 1.56152 2.025
75 1.56152 2.025
76 1.56394 2.0368
77 1.56394 2.0368
78 1.56394 2.0368
79 1.57801 2.062
80 1.57801 2.062
81 1.57801 2.062
82 1.57193 2.1403
83 1.57193 2.1403
84 1.57193 2.1403
85 1.52411 2.6293
86 1.52411 2.6293
87 1.52411 2.6293
88 1.53686 2.6509
89 1.53686 2.6509
90 1.53686 2.6509
91 1.51767 2.6132
92 1.51767 2.6132
93 1.51767 2.6132
94 1.45751 2.4264
95 1.45751 2.4264
96 1.45751 2.4264
97 1.46068 2.438
98 1.46068 2.438
99 1.46068 2.438
100 1.46676 2.4551
101 1.46676 2.4551
102 1.46676 2.4551
103 1.47042 2.5049
104 1.47042 2.5049
105 1.47042 2.5049
