VMs	No
1	116
2	288
3	328.666666666667
4	308.75
5	316.2
6	366.666666666667
7	386.571428571429
8	386.625
9	372.666666666667
10	375.3
11	394.636363636364
12	394.833333333333
13	425.769230769231
14	478.928571428571
15	492.066666666667
16	515.1875
17	511.647058823529
18	521.666666666667
19	531.105263157895
20	549.55
21	559.952380952381
22	568.090909090909
23	560.260869565217
24	589.833333333333
25	591.4
26	626.307692307692
27	641.703703703704
28	648.964285714286
29	654.896551724138
30	653.033333333333
31	654.387096774194
32	672.3125
33	665.30303030303
34	681.970588235294
35	692.514285714286
