NodesFailed	VO	VC1	VC2	VC3
0	100	100	100	100
1	100	100	100	100
2	100	100	100	100
3	99.999320589429	99.999894313608	99.999894313608	99.999894313608
4	99.9972823853748	99.9994690879152	99.9995772550964	99.9995772550964
5	99.9932061017969	99.9984023092698	99.9989425979407	99.9989431410739
6	99.9864126647429	99.9962638232643	99.9978830354822	99.9978862897701
7	99.9762233737906	99.9925153806668	99.9962896393378	99.996301019466
8	99.9619601093194	99.9865107205478	99.9940513260434	99.9940816415399
9	99.9429455858986	99.9774957234552	99.9910543166961	99.9911224551534
10	99.9185036513057	99.9646086440832	99.9871816046249	99.9873177380537
11	99.8879596313137	99.9468804609024	99.982312420895	99.9825617350392
12	99.85064071965	99.9232353751479	99.9763217047898	99.9767486440385
13	99.8058764131835	99.8924914916328	99.9690795761268	99.9697726003659
14	99.7529989916088	99.8533617230534	99.9604508052	99.9615276601048
15	99.6913440413944	99.8044549657443	99.9502942951774	99.9519077796847
16	99.6202510232706	99.7442775849223	99.9384625589488	99.9408067936323
17	99.5390638826414	99.6712352736871	99.9248012038331	99.9281183910202
18	99.4471317021068	99.5836353238185	99.9091484221836	99.9137360886397
19	99.34380939523	99.4796893819349	99.8913344835153	99.8975532039104
20	99.2284584405164	99.3575167351689	99.8711812342792	99.8794628230788
21	99.1004476542979	99.2151481986518	99.8485016030052	99.8593577716721
22	98.959154001521	99.0505306556921	99.8230991151401	99.837130576852
23	98.8039634426728	98.8615323277859	99.7947674124534	99.81267343408
24	98.6342718155054	98.6459488238703	99.7632897829902	99.7858781687354
25	98.4494857496624	98.4015100359523	99.7284387026069	99.7566361951978
