NodesFailed	VO	VC1	VC2	VC3	VC4
0	100	100	100	100	100
1	100	100	100	100	100
2	100	100	100	100	100
3	99.999320589429	99.999779814964	99.999779814964	99.999779814964	99.999779814964
4	99.9972823853748	99.9989029294981	99.9991192627528	99.9991192627528	99.9991192627528
5	99.9932061017969	99.9967165230903	99.9977970851349	99.9977981713887	99.9977981713887
6	99.9864126647429	99.9923515517781	99.9955898757316	99.9955963841583	99.9955963911213
7	99.9762233737906	99.9847229347442	99.992271006278	99.9922937656211	99.9922938113765
8	99.9619601093194	99.9725299015312	99.9876095723657	99.9876701994619	99.9876703824751
9	99.9429455858986	99.9542566068699	99.9813693284797	99.981505592241	99.9815061422414
10	99.9185036513057	99.9281730813083	99.9733076427293	99.9735798719931	99.9735812473825
11	99.8879596313137	99.8923366496968	99.9631744513121	99.9636729847779	99.963676009738
12	99.85064071965	99.8445939470174	99.950711227499	99.9515648890848	99.9515709372782
13	99.8058764131835	99.7825836683722	99.9356499594476	99.9370355492344	99.937046779961
14	99.7529989916088	99.7037402149792	99.9177121291075	99.9198649296816	99.9198845803257
15	99.6913440413944	99.6052984164958	99.8966077226413	99.8998329843774	99.8998657288871
16	99.6202510232706	99.4842994951098	99.8720342372343	99.8767196451637	99.8767720242628
17	99.5390638826414	99.3375984929025	99.8436757120867	99.8503048102725	99.8503857380307
18	99.4471317021068	99.161873333746	99.8112017807515	99.8203683290129	99.8204896842799
19	99.34380939523	98.953635762082	99.7742667372875	99.7866899886986	99.7868672938392
20	99.2284584405164	98.7092443401352	99.7325086298067	99.7490494949683	99.7493026931452
21	99.1004476542979	98.4249197363224	99.6855483783313	99.7072264594542	99.707580787662
22	98.959154001521	98.0967624869175	99.632988927216	99.6610003741708	99.6614873499056
23	98.8039634426728	97.7207734534284	99.5744144236504	99.6101505974638	99.6108091119167
24	98.6342718155054	97.2928771270903	99.5093894360975	99.5544563328897	99.555333862207
25	98.4494857496624	96.8089479465316	99.4374582168025	99.4936966061157	99.4948505470704
26	98.2490236123572	96.2648397608952	99.3581440040322	99.4276502459787	99.429149376207
27	98.0323164830742	95.6564185177724	99.2709483828443	99.3560958629802	99.3580219325984
28	97.798809154993	94.9795982100348	99.1753506899088	99.2788118254238	99.281261286532
29	97.5479611607986	94.2303800986086	99.070807493832	99.195576242348	99.1986621137054
30	97.2792478202203	93.4048951029491	98.9567521343649	99.1061669396465	99.1100208172878
31	96.9921613068098	92.4994492363998	98.8325943360665	99.010361442584	99.0151356539178
32	96.686211730694	91.5105718446682	98.6977199082327	98.9079369569844	98.9138068634081
33	96.360928234517	90.4350663432194	98.5514905317354	98.7986703505086	98.8058368021373
34	96.0158600993041	89.2700630262382	98.3932436387202	98.6823381392789	98.6910300799914
35	95.6505778567477	88.0130734495991	98.2222924023124	98.5587164732957	98.5691937006907
36	95.2646744044176	86.6620457500236	98.03792583922	98.4275811279402	98.4401372053791
37	94.8577661202225	85.2154201802626	97.8394090325042	98.2887074931628	98.3036728193381
38	94.42949397234	83.6721840216581	97.6259834938946	98.1418705725898	98.1596156016915
39	93.9795246204606	82.0319249218218	97.396867656087	97.9868449821728	98.0077835978775
40	93.5075515043861	80.2948816327183	97.151257536526	97.8234049538386	97.847997994768
