VMs	N2	N1
5	15.2	285.2
10	22.2	322.9
15	35.6666666666667	420.866666666667
20	42	465.1
25	45.72	497.72
30	53.4666666666667	542.8
35	58.5428571428572	574.371428571429
40	60.875	532.8
45	65.3777777777778	504.177777777778
50	71.92	513.44
55	76.8727272727273	520.036363636364
60	83.05	520.216666666667
65	88.0307692307692	530.923076923077
70	92.2142857142857	543.4
75	95.5066666666667	522.106666666667
80	98.2125	508.975
85	103.164705882353	508.694117647059
90	109.211111111111	506.977777777778
95	112.894736842105	504.884210526316
100	118.71	501.68
105	122.27619047619	499.4
