VMs	Measured	Theoretical
1	1	0.354
2	1.50174	1.0228
3	1.7897	1.306
4	2.00568	1.5741
5	2.16496	1.7783
6	2.04536	1.8053
7	2.06979	1.8938
8	2.06505	1.9655
9	2.04423	2.0022
10	2.05182	2.0645
11	2.00476	2.0787
12	2.01782	2.1334
13	2.05435	2.1955
14	2.09301	2.2498
15	1.9438	2.0949
16	1.7706	1.9439
17	1.76809	1.9799
18	1.61406	1.8056
19	1.61376	1.8244
20	1.59673	1.9036
21	1.54165	1.8359
22	1.56486	1.8649
23	1.59316	1.8991
24	1.53882	1.9891
25	1.56152	2.025
26	1.56394	2.0368
27	1.57801	2.062
28	1.57193	2.1403
29	1.52411	2.6293
30	1.53686	2.6509
31	1.51767	2.6132
32	1.45751	2.4264
33	1.46068	2.438
34	1.46676	2.4551
35	1.47042	2.5049
