VMs	No
1	116
2	288
3	328.666666666667
4	308.75
5	316.2
6	366.666666666667
7	386.571428571429
8	386.625
9	372.666666666667
10	375.3
11	394.636363636364
12	394.833333333333
13	425.769230769231
14	478.928571428571
15	492.066666666667
16	515.1875
17	511.647058823529
18	521.666666666667
19	531.105263157895
20	549.55
21	559.952380952381
22	568.090909090909
23	560.260869565217
24	589.833333333333
25	591.4
26	626.307692307692
27	641.703703703704
28	648.964285714286
29	654.896551724138
30	653.033333333333
31	654.387096774194
32	672.3125
33	665.30303030303
34	681.970588235294
35	692.514285714286
36	677.361111111111
37	675.621621621622
38	670.157894736842
39	660.564102564102
40	652.975
41	654.829268292683
42	652
43	646.046511627907
44	636.863636363636
45	631.777777777778
46	630.760869565217
47	626.021276595745
48	630.854166666667
49	642.836734693878
50	644.04
51	650.627450980392
52	647.057692307692
53	647.641509433962
54	648.777777777778
55	655.181818181818
56	656.178571428572
57	657.964912280702
58	652.637931034483
59	662.474576271186
60	662.116666666667
61	671.737704918033
62	678.225806451613
63	679.714285714286
64	680.921875
65	678.430769230769
66	678.166666666667
67	687.238805970149
68	683.441176470588
69	692.550724637681
70	695.071428571428
71	687.394366197183
72	686.541666666667
73	683.753424657534
74	678.527027027027
75	674.786666666667
76	675.605263157895
77	674.168831168831
78	670.602564102564
79	665.443037974684
80	662.625
81	661.716049382716
82	658.987804878049
83	661.590361445783
84	668.357142857143
85	668.882352941176
86	672.593023255814
87	670.459770114942
88	670.568181818182
89	671.415730337079
90	675.1
91	676.384615384615
92	677.391304347826
93	674.021505376344
94	680.276595744681
95	679.842105263158
96	686.53125
97	690.618556701031
98	691.897959183674
99	692.565656565657
100	690.99
101	691.019801980198
102	696.813725490196
103	694.718446601942
104	700.701923076923
105	702.67619047619
